Event Date / Time,Event Number,Type,Address,Latitude,Longitude
7/16/2024 6:41,2024-042883,ALARM / BUSINESS,"110 ST EUGENE Belleville, IL",38.670256,-90.196746
7/16/2024 6:43,2024-042884,ALARM / BUSINESS,"4810 W MAIN Belleville, IL",38.5429242,-90.0270083
7/16/2024 7:29,2024-042893,ALARM / BUSINESS,"3710 W MAIN Belleville, IL",38.5346916,-90.0172016
7/16/2024 7:39,2024-042896,ALARM / BUSINESS,"10410 W MAIN Belleville, IL",38.5870847,-90.0580218
7/16/2024 12:19,2024-042964,ALARM / BUSINESS,"10 CARLYLE PLAZA Belleville, IL",38.51666773660169,-89.95321164382385
7/16/2024 15:21,2024-043089,ALARM / BUSINESS,"2310 PATHWAYS CROSSING Belleville, IL",38.5112709,-89.9296121
7/16/2024 17:25,2024-043128,ALARM / BUSINESS,"8210 W MAIN Belleville, IL",38.566866,-90.051176
7/16/2024 19:23,2024-043154,ALARM / BUSINESS,"7410 WESTCHESTER DR Belleville, IL",38.5479761,-90.0570056
7/18/2024 4:37,2024-043492,ALARM / BUSINESS,"210 HICKMAN DR Belleville, IL",38.520072,-89.981262
7/18/2024 6:21,2024-043497,ALARM / BUSINESS,"810 ROYAL HEIGHTS Belleville, IL",38.5442171,-90.0137165
7/18/2024 6:29,2024-043498,ALARM / BUSINESS,"1110 UNION AVE Belleville, IL",38.5122969,-90.0015498
7/18/2024 18:06,2024-043624,ALARM / BUSINESS,"410 S ILLINOIS Belleville, IL",38.519501,-89.904382
7/18/2024 20:00,2024-043648,ALARM / BUSINESS,"7410 WESTCHESTER DR Belleville, IL",38.5479761,-90.0570056
7/19/2024 0:43,2024-043700,ALARM / BUSINESS,"710 S ILLINOIS Belleville, IL",38.4750313,-89.9286139
7/19/2024 4:51,2024-043717,ALARM / BUSINESS,"2010 FRANK SCOTT Belleville, IL",38.5226437,-90.0360399
7/19/2024 7:05,2024-043727,ALARM / BUSINESS,"1110 LEBANON AVE Belleville, IL",38.5283343,-89.9724303
7/19/2024 8:02,2024-043735,ALARM / BUSINESS,"310 E WASHINGTON Belleville, IL",38.512377,-89.979619
7/19/2024 10:27,2024-043768,ALARM / BUSINESS,"410 SOUTH BELT Belleville, IL",38.502497,-89.9780874
7/14/2024 15:24,2024-042553,ALARM / CAR,"1 POLK ST/S 5TH Belleville, IL",38.457129,-90.098521
7/13/2024 1:59,2024-042219,ALARM / RESIDENTIAL,"510 N DOUGLAS Belleville, IL",38.5187536,-89.9768737
7/13/2024 6:37,2024-042238,ALARM / RESIDENTIAL,"110 N DOUGLAS Belleville, IL",38.5145666,-89.9721177
7/13/2024 10:38,2024-042275,ALARM / RESIDENTIAL,"110 S 98TH Belleville, IL",38.5805999,-90.058598
7/13/2024 11:02,2024-042282,ALARM / RESIDENTIAL,"2410 FAIRWAY DR Belleville, IL",38.4964961,-89.9119562
7/14/2024 8:32,2024-042492,ALARM / RESIDENTIAL,"510 N 4TH Belleville, IL",38.5192862,-89.9902058
7/14/2024 9:28,2024-042502,ALARM / RESIDENTIAL,"1310 UNION AVE Belleville, IL",38.5131049,-90.002479
7/14/2024 12:02,2024-042523,ALARM / RESIDENTIAL,"10 S 10TH Belleville, IL",38.5146803,-89.9968431
7/15/2024 1:45,2024-042638,ALARM / RESIDENTIAL,"10 BRAMBLE POINT Belleville, IL",,
7/16/2024 9:02,2024-042910,ALARM / RESIDENTIAL,"10 N 70TH Belleville, IL",,
7/16/2024 16:52,2024-043119,ALARM / RESIDENTIAL,"10 OAK KNOLL Belleville, IL",38.5698854,-90.05108
